query_length,text_length,k,edlib_matches,sassy_matches,max_edits,bench_iter,alphabet,profile,rc,edlib_ns,edlib_ns_plus_one,sassy_ns,sassy_ns_plus_one
20,50,0,0,0,0,1000,Dna,dna,withoutrc,918,2385,240,1016
20,100,0,0,0,0,1000,Dna,dna,withoutrc,1215,2674,303,765
20,150,0,0,0,0,1000,Dna,dna,withoutrc,1508,2789,317,690
20,250,0,0,0,0,1000,Dna,dna,withoutrc,2090,2826,334,962
20,500,0,0,0,0,1000,Dna,dna,withoutrc,3564,2932,459,685
20,1000,0,0,0,0,1000,Dna,dna,withoutrc,6369,2980,707,667
20,2000,0,0,0,0,1000,Dna,dna,withoutrc,12263,3238,1377,876
20,4000,0,0,0,0,1000,Dna,dna,withoutrc,23904,3719,2042,625
20,8000,0,0,0,0,1000,Dna,dna,withoutrc,47417,4647,3799,739
20,16000,0,0,0,0,1000,Dna,dna,withoutrc,94068,6508,7403,791
20,32000,0,0,0,0,1000,Dna,dna,withoutrc,187242,10299,14240,737
20,64000,0,0,0,0,1000,Dna,dna,withoutrc,376715,17538,28264,728
20,100000,0,0,0,0,1000,Dna,dna,withoutrc,586666,59395,44264,589
20,128000,0,0,0,0,1000,Dna,dna,withoutrc,748994,86794,55555,840
30,50,0,0,0,0,1000,Dna,dna,withoutrc,924,2840,264,1198
30,100,0,0,0,0,1000,Dna,dna,withoutrc,1221,3120,297,967
30,150,0,0,0,0,1000,Dna,dna,withoutrc,1513,3256,326,720
30,250,0,0,0,0,1000,Dna,dna,withoutrc,2079,3264,330,1192
30,500,0,0,0,0,1000,Dna,dna,withoutrc,3532,3362,450,840
30,1000,0,0,0,0,1000,Dna,dna,withoutrc,6276,3395,669,797
30,2000,0,0,0,0,1000,Dna,dna,withoutrc,11835,3591,1096,748
30,4000,0,0,0,0,1000,Dna,dna,withoutrc,23153,4055,2023,772
30,8000,0,0,0,0,1000,Dna,dna,withoutrc,45688,4955,3648,857
30,16000,0,0,0,0,1000,Dna,dna,withoutrc,91088,6708,7029,929
30,32000,0,0,0,0,1000,Dna,dna,withoutrc,180602,10373,14019,908
30,64000,0,0,0,0,1000,Dna,dna,withoutrc,363437,19825,27900,941
30,100000,0,0,0,0,1000,Dna,dna,withoutrc,570314,55178,42900,703
30,128000,0,0,0,0,1000,Dna,dna,withoutrc,722382,77163,55055,891
50,100,1,0,0,1,1000,Dna,dna,withoutrc,1255,3690,304,1081
50,150,1,0,0,1,1000,Dna,dna,withoutrc,1566,3824,317,1147
50,250,1,0,0,1,1000,Dna,dna,withoutrc,2111,3835,335,1628
50,500,1,0,0,1,1000,Dna,dna,withoutrc,3448,3812,461,1198
50,1000,1,0,0,1,1000,Dna,dna,withoutrc,6249,3993,689,1190
50,2000,1,0,0,1,1000,Dna,dna,withoutrc,11746,4152,1104,1172
50,4000,1,0,0,1,1000,Dna,dna,withoutrc,22923,4599,2115,1235
50,8000,1,0,0,1,1000,Dna,dna,withoutrc,45181,5484,3842,1207
50,16000,1,0,0,1,1000,Dna,dna,withoutrc,89817,7253,7540,1382
50,32000,1,0,0,1,1000,Dna,dna,withoutrc,179449,10877,14695,1343
50,64000,1,0,0,1,1000,Dna,dna,withoutrc,358201,22404,29109,1369
50,100000,1,0,0,1,1000,Dna,dna,withoutrc,568612,52884,45225,1226
50,128000,1,0,0,1,1000,Dna,dna,withoutrc,728208,74729,57949,1358
100,150,1,0,0,1,1000,Dna,dna,withoutrc,1857,6879,440,2416
100,250,1,0,0,1,1000,Dna,dna,withoutrc,2366,6948,455,2997
100,500,1,0,0,1,1000,Dna,dna,withoutrc,3746,7011,574,3289
100,1000,1,0,0,1,1000,Dna,dna,withoutrc,6430,7041,791,2463
100,2000,1,0,0,1,1000,Dna,dna,withoutrc,11867,7248,1227,2611
100,4000,1,0,0,1,1000,Dna,dna,withoutrc,22853,7683,2104,2470
100,8000,1,0,0,1,1000,Dna,dna,withoutrc,44882,8593,3788,2782
100,16000,1,0,0,1,1000,Dna,dna,withoutrc,88684,10331,7154,2551
100,32000,1,0,0,1,1000,Dna,dna,withoutrc,176528,13856,14014,2734
100,64000,1,0,0,1,1000,Dna,dna,withoutrc,351545,25280,27677,2804
100,100000,1,0,0,1,1000,Dna,dna,withoutrc,567056,56774,43183,2561
100,128000,1,0,0,1,1000,Dna,dna,withoutrc,714535,76965,55002,2803
