query_length,text_length,k,edlib_matches,sassy_matches,max_edits,bench_iter,alphabet,profile,rc,edlib_ns,edlib_ns_plus_one,sassy_ns,sassy_ns_plus_one
20,50,3,0,0,3,1000,Dna,dna,withoutrc,906,2325,241,1065
20,100,3,0,0,3,1000,Dna,dna,withoutrc,1187,2617,328,766
20,150,3,0,0,3,1000,Dna,dna,withoutrc,1479,2741,378,685
20,250,3,0,0,3,1000,Dna,dna,withoutrc,2025,2759,423,920
20,500,3,0,0,3,1000,Dna,dna,withoutrc,3425,2840,566,678
20,1000,3,0,0,3,1000,Dna,dna,withoutrc,6180,2896,907,603
20,2000,3,0,0,3,1000,Dna,dna,withoutrc,11778,3145,1473,456
20,4000,3,0,0,3,1000,Dna,dna,withoutrc,23214,3652,2722,518
20,8000,3,0,0,3,1000,Dna,dna,withoutrc,45406,4480,5024,580
20,16000,3,0,0,3,1000,Dna,dna,withoutrc,89861,6155,9874,603
20,32000,3,0,0,3,1000,Dna,dna,withoutrc,189618,10662,19685,540
20,64000,3,0,0,3,1000,Dna,dna,withoutrc,377347,17752,42503,726
20,100000,3,0,0,3,1000,Dna,dna,withoutrc,590504,59568,63130,399
20,128000,3,0,0,3,1000,Dna,dna,withoutrc,750060,84607,80968,524
30,50,3,0,0,3,1000,Dna,dna,withoutrc,968,2931,250,1173
30,100,3,0,0,3,1000,Dna,dna,withoutrc,1253,3212,352,953
30,150,3,0,0,3,1000,Dna,dna,withoutrc,1539,3323,386,709
30,250,3,0,0,3,1000,Dna,dna,withoutrc,2120,3336,435,1116
30,500,3,0,0,3,1000,Dna,dna,withoutrc,3568,3384,593,788
30,1000,3,0,0,3,1000,Dna,dna,withoutrc,6512,3541,907,734
30,2000,3,0,0,3,1000,Dna,dna,withoutrc,12208,3729,1528,628
30,4000,3,0,0,3,1000,Dna,dna,withoutrc,23816,4185,2769,670
30,8000,3,0,0,3,1000,Dna,dna,withoutrc,54190,5891,5178,743
30,16000,3,0,0,3,1000,Dna,dna,withoutrc,93786,6955,10207,781
30,32000,3,0,0,3,1000,Dna,dna,withoutrc,187296,10728,20094,652
30,64000,3,0,0,3,1000,Dna,dna,withoutrc,374528,20569,40101,579
30,100000,3,0,0,3,1000,Dna,dna,withoutrc,593042,59312,67959,641
30,128000,3,0,0,3,1000,Dna,dna,withoutrc,755811,82075,87679,812
50,100,3,0,0,3,1000,Dna,dna,withoutrc,1315,3823,358,1073
50,150,3,0,0,3,1000,Dna,dna,withoutrc,1586,3914,399,1159
50,250,3,0,0,3,1000,Dna,dna,withoutrc,2204,3961,455,1683
50,500,3,0,0,3,1000,Dna,dna,withoutrc,4397,4725,610,1237
50,1000,3,0,0,3,1000,Dna,dna,withoutrc,6510,4120,919,1188
50,2000,3,0,0,3,1000,Dna,dna,withoutrc,12366,4366,1576,1235
50,4000,3,0,0,3,1000,Dna,dna,withoutrc,23839,4797,2822,1184
50,8000,3,0,0,3,1000,Dna,dna,withoutrc,46996,5714,5177,1209
50,16000,3,0,0,3,1000,Dna,dna,withoutrc,93811,7770,10298,1300
