num_queries,target_len,query_len,k,search_median_ms,search_mean_ms,search_std_ms,search_ci_lower_ms,search_ci_upper_ms,search_n_matches,tiling_median_ms,tiling_mean_ms,tiling_std_ms,tiling_ci_lower_ms,tiling_ci_upper_ms,tiling_n_matches,edlib_median_ms,edlib_mean_ms,edlib_std_ms,edlib_ci_lower_ms,edlib_ci_upper_ms,edlib_n_matches,parasail_median_ms,parasail_mean_ms,parasail_std_ms,parasail_ci_lower_ms,parasail_ci_upper_ms,parasail_n_matches,search_ipc,tiling_ipc,edlib_ipc,parasail_ipc,search_throughput_gbps,search_ci_lower_throughput_gbps,search_ci_upper_throughput_gbps,tiling_throughput_gbps,tiling_ci_lower_throughput_gbps,tiling_ci_upper_throughput_gbps,edlib_throughput_gbps,edlib_ci_lower_throughput_gbps,edlib_ci_upper_throughput_gbps,parasail_throughput_gbps,parasail_ci_lower_throughput_gbps,parasail_ci_upper_throughput_gbps,throughput_bytes
100,100000,20,3,81.776,81.737,0.039,81.684,81.791,26,0.000,0.000,0.000,0.000,0.000,0,793.074,793.074,0.000,793.074,793.074,31,0.000,0.000,0.000,0.000,0.000,0,0.00,0.00,0.00,0.00,1.223,1.223,1.224,0.000,0.000,0.000,0.126,0.126,0.126,0.000,0.000,0.000,100000000
100,100000,20,0.01,53.928,53.849,0.079,53.739,53.959,0,0.000,0.000,0.000,0.000,0.000,0,785.050,785.050,0.000,785.050,785.050,0,0.000,0.000,0.000,0.000,0.000,0,0.00,0.00,0.00,0.00,1.854,1.853,1.861,0.000,0.000,0.000,0.127,0.127,0.127,0.000,0.000,0.000,100000000
100,100000,20,0.05,53.965,53.868,0.098,53.733,54.003,0,0.000,0.000,0.000,0.000,0.000,0,784.924,784.924,0.000,784.924,784.924,0,0.000,0.000,0.000,0.000,0.000,0,0.00,0.00,0.00,0.00,1.853,1.852,1.861,0.000,0.000,0.000,0.127,0.127,0.127,0.000,0.000,0.000,100000000
100,100000,30,3,82.446,81.861,0.584,81.051,82.671,0,0.000,0.000,0.000,0.000,0.000,0,785.639,785.639,0.000,785.639,785.639,0,0.000,0.000,0.000,0.000,0.000,0,0.00,0.00,0.00,0.00,1.213,1.210,1.234,0.000,0.000,0.000,0.127,0.127,0.127,0.000,0.000,0.000,100000000
100,100000,30,0.01,53.563,53.341,0.222,53.033,53.649,0,0.000,0.000,0.000,0.000,0.000,0,785.276,785.276,0.000,785.276,785.276,0,0.000,0.000,0.000,0.000,0.000,0,0.00,0.00,0.00,0.00,1.867,1.864,1.886,0.000,0.000,0.000,0.127,0.127,0.127,0.000,0.000,0.000,100000000
100,100000,30,0.05,62.474,62.180,0.294,61.773,62.588,0,0.000,0.000,0.000,0.000,0.000,0,785.363,785.363,0.000,785.363,785.363,0,0.000,0.000,0.000,0.000,0.000,0,0.00,0.00,0.00,0.00,1.601,1.598,1.619,0.000,0.000,0.000,0.127,0.127,0.127,0.000,0.000,0.000,100000000
100,100000,50,3,81.496,81.387,0.109,81.236,81.538,0,0.000,0.000,0.000,0.000,0.000,0,790.603,790.603,0.000,790.603,790.603,0,0.000,0.000,0.000,0.000,0.000,0,0.00,0.00,0.00,0.00,1.227,1.226,1.231,0.000,0.000,0.000,0.126,0.126,0.126,0.000,0.000,0.000,100000000
100,100000,50,0.01,53.823,53.700,0.123,53.530,53.871,0,0.000,0.000,0.000,0.000,0.000,0,784.598,784.598,0.000,784.598,784.598,0,0.000,0.000,0.000,0.000,0.000,0,0.00,0.00,0.00,0.00,1.858,1.856,1.868,0.000,0.000,0.000,0.127,0.127,0.127,0.000,0.000,0.000,100000000
100,100000,50,0.05,81.469,81.328,0.141,81.132,81.523,0,0.000,0.000,0.000,0.000,0.000,0,787.931,787.931,0.000,787.931,787.931,0,0.000,0.000,0.000,0.000,0.000,0,0.00,0.00,0.00,0.00,1.227,1.227,1.233,0.000,0.000,0.000,0.127,0.127,0.127,0.000,0.000,0.000,100000000
100,100000,100,3,82.790,82.592,0.197,82.319,82.866,0,0.000,0.000,0.000,0.000,0.000,0,780.729,780.729,0.000,780.729,780.729,0,0.000,0.000,0.000,0.000,0.000,0,0.00,0.00,0.00,0.00,1.208,1.207,1.215,0.000,0.000,0.000,0.128,0.128,0.128,0.000,0.000,0.000,100000000
100,100000,100,20,161.304,161.304,0.000,161.304,161.304,0,0.000,0.000,0.000,0.000,0.000,0,780.551,780.551,0.000,780.551,780.551,0,0.000,0.000,0.000,0.000,0.000,0,0.00,0.00,0.00,0.00,0.620,0.620,0.620,0.000,0.000,0.000,0.128,0.128,0.128,0.000,0.000,0.000,100000000
100,100000,100,0.01,55.361,55.257,0.104,55.114,55.401,0,0.000,0.000,0.000,0.000,0.000,0,786.188,786.188,0.000,786.188,786.188,0,0.000,0.000,0.000,0.000,0.000,0,0.00,0.00,0.00,0.00,1.806,1.805,1.814,0.000,0.000,0.000,0.127,0.127,0.127,0.000,0.000,0.000,100000000
