num_queries,target_len,query_len,k,search_median_ms,search_mean_ms,search_std_ms,search_ci_lower_ms,search_ci_upper_ms,search_n_matches,tiling_median_ms,tiling_mean_ms,tiling_std_ms,tiling_ci_lower_ms,tiling_ci_upper_ms,tiling_n_matches,edlib_median_ms,edlib_mean_ms,edlib_std_ms,edlib_ci_lower_ms,edlib_ci_upper_ms,edlib_n_matches,parasail_median_ms,parasail_mean_ms,parasail_std_ms,parasail_ci_lower_ms,parasail_ci_upper_ms,parasail_n_matches,search_ipc,tiling_ipc,edlib_ipc,parasail_ipc,search_throughput_gbps,search_ci_lower_throughput_gbps,search_ci_upper_throughput_gbps,tiling_throughput_gbps,tiling_ci_lower_throughput_gbps,tiling_ci_upper_throughput_gbps,edlib_throughput_gbps,edlib_ci_lower_throughput_gbps,edlib_ci_upper_throughput_gbps,parasail_throughput_gbps,parasail_ci_lower_throughput_gbps,parasail_ci_upper_throughput_gbps,throughput_bytes
100,100,100,3,1.410,1.414,0.028,1.408,1.421,0,0.000,0.000,0.000,0.000,0.000,0,9.428,9.438,0.032,9.419,9.457,0,0.000,0.000,0.000,0.000,0.000,0,0.00,0.00,0.00,0.00,0.071,0.070,0.071,0.000,0.000,0.000,0.011,0.011,0.011,0.000,0.000,0.000,100000
100,100,100,20,1.906,1.911,0.021,1.905,1.916,0,0.000,0.000,0.000,0.000,0.000,0,9.423,9.430,0.023,9.417,9.444,0,0.000,0.000,0.000,0.000,0.000,0,0.00,0.00,0.00,0.00,0.052,0.052,0.052,0.000,0.000,0.000,0.011,0.011,0.011,0.000,0.000,0.000,100000
100,150,100,3,1.556,1.564,0.022,1.558,1.569,0,0.000,0.000,0.000,0.000,0.000,0,9.808,9.817,0.024,9.803,9.832,0,0.000,0.000,0.000,0.000,0.000,0,0.00,0.00,0.00,0.00,0.096,0.096,0.096,0.000,0.000,0.000,0.015,0.015,0.015,0.000,0.000,0.000,150000
100,150,100,20,2.280,2.286,0.025,2.278,2.293,0,0.000,0.000,0.000,0.000,0.000,0,9.802,9.811,0.024,9.797,9.825,0,0.000,0.000,0.000,0.000,0.000,0,0.00,0.00,0.00,0.00,0.066,0.065,0.066,0.000,0.000,0.000,0.015,0.015,0.015,0.000,0.000,0.000,150000
100,250,100,3,1.644,1.648,0.020,1.643,1.653,0,0.000,0.000,0.000,0.000,0.000,0,10.626,10.636,0.025,10.621,10.652,0,0.000,0.000,0.000,0.000,0.000,0,0.00,0.00,0.00,0.00,0.152,0.151,0.152,0.000,0.000,0.000,0.024,0.023,0.024,0.000,0.000,0.000,250000
100,250,100,20,2.321,2.325,0.025,2.318,2.333,0,0.000,0.000,0.000,0.000,0.000,0,10.616,10.623,0.023,10.609,10.638,0,0.000,0.000,0.000,0.000,0.000,0,0.00,0.00,0.00,0.00,0.108,0.107,0.108,0.000,0.000,0.000,0.024,0.024,0.024,0.000,0.000,0.000,250000
100,500,100,3,1.882,1.885,0.021,1.879,1.891,0,0.000,0.000,0.000,0.000,0.000,0,12.567,12.597,0.095,12.531,12.662,0,0.000,0.000,0.000,0.000,0.000,0,0.00,0.00,0.00,0.00,0.266,0.264,0.266,0.000,0.000,0.000,0.040,0.039,0.040,0.000,0.000,0.000,500000
100,500,100,20,2.758,2.763,0.027,2.754,2.771,0,0.000,0.000,0.000,0.000,0.000,0,12.516,12.511,0.025,12.494,12.528,0,0.000,0.000,0.000,0.000,0.000,0,0.00,0.00,0.00,0.00,0.181,0.180,0.182,0.000,0.000,0.000,0.040,0.040,0.040,0.000,0.000,0.000,500000
100,1000,100,3,2.322,2.322,0.026,2.314,2.329,0,0.000,0.000,0.000,0.000,0.000,0,16.225,16.226,0.021,16.210,16.241,0,0.000,0.000,0.000,0.000,0.000,0,0.00,0.00,0.00,0.00,0.431,0.429,0.432,0.000,0.000,0.000,0.062,0.062,0.062,0.000,0.000,0.000,1000000
100,1000,100,20,3.582,3.589,0.030,3.577,3.600,0,0.000,0.000,0.000,0.000,0.000,0,16.270,16.298,0.068,16.248,16.348,0,0.000,0.000,0.000,0.000,0.000,0,0.00,0.00,0.00,0.00,0.279,0.278,0.280,0.000,0.000,0.000,0.061,0.061,0.062,0.000,0.000,0.000,1000000
100,2000,100,3,3.179,3.185,0.028,3.175,3.194,0,0.000,0.000,0.000,0.000,0.000,0,23.841,23.852,0.024,23.831,23.873,0,0.000,0.000,0.000,0.000,0.000,0,0.00,0.00,0.00,0.00,0.629,0.626,0.630,0.000,0.000,0.000,0.084,0.084,0.084,0.000,0.000,0.000,2000000
100,2000,100,20,5.198,5.207,0.040,5.190,5.225,0,0.000,0.000,0.000,0.000,0.000,0,24.015,24.034,0.044,23.995,24.073,0,0.000,0.000,0.000,0.000,0.000,0,0.00,0.00,0.00,0.00,0.385,0.383,0.385,0.000,0.000,0.000,0.083,0.083,0.083,0.000,0.000,0.000,2000000
100,4000,100,3,4.726,4.804,0.195,4.720,4.887,0,0.000,0.000,0.000,0.000,0.000,0,39.458,39.472,0.021,39.448,39.495,0,0.000,0.000,0.000,0.000,0.000,0,0.00,0.00,0.00,0.00,0.846,0.819,0.847,0.000,0.000,0.000,0.101,0.101,0.101,0.000,0.000,0.000,4000000
100,4000,100,20,8.423,8.437,0.051,8.408,8.466,0,0.000,0.000,0.000,0.000,0.000,0,39.416,39.419,0.005,39.414,39.424,0,0.000,0.000,0.000,0.000,0.000,0,0.00,0.00,0.00,0.00,0.475,0.472,0.476,0.000,0.000,0.000,0.101,0.101,0.101,0.000,0.000,0.000,4000000
100,8000,100,3,7.721,7.737,0.052,7.708,7.765,0,0.000,0.000,0.000,0.000,0.000,0,70.298,70.214,0.083,70.099,70.330,0,0.000,0.000,0.000,0.000,0.000,0,0.00,0.00,0.00,0.00,1.036,1.030,1.038,0.000,0.000,0.000,0.114,0.114,0.114,0.000,0.000,0.000,8000000
100,8000,100,20,14.340,14.373,0.070,14.322,14.425,0,0.000,0.000,0.000,0.000,0.000,0,70.206,70.153,0.053,70.080,70.226,0,0.000,0.000,0.000,0.000,0.000,0,0.00,0.00,0.00,0.00,0.558,0.555,0.559,0.000,0.000,0.000,0.114,0.114,0.114,0.000,0.000,0.000,8000000
100,16000,100,3,14.287,14.329,0.102,14.254,14.404,0,0.000,0.000,0.000,0.000,0.000,0,131.847,131.847,0.000,131.847,131.847,0,0.000,0.000,0.000,0.000,0.000,0,0.00,0.00,0.00,0.00,1.120,1.111,1.123,0.000,0.000,0.000,0.121,0.121,0.121,0.000,0.000,0.000,16000000
100,16000,100,20,27.298,27.411,0.201,27.214,27.609,0,0.000,0.000,0.000,0.000,0.000,0,131.736,131.736,0.000,131.736,131.736,0,0.000,0.000,0.000,0.000,0.000,0,0.00,0.00,0.00,0.00,0.586,0.580,0.588,0.000,0.000,0.000,0.121,0.121,0.121,0.000,0.000,0.000,16000000
100,32000,100,3,27.944,28.010,0.131,27.882,28.138,0,0.000,0.000,0.000,0.000,0.000,0,255.575,255.575,0.000,255.575,255.575,0,0.000,0.000,0.000,0.000,0.000,0,0.00,0.00,0.00,0.00,1.145,1.137,1.148,0.000,0.000,0.000,0.125,0.125,0.125,0.000,0.000,0.000,32000000
100,32000,100,20,53.299,53.202,0.097,53.068,53.337,0,0.000,0.000,0.000,0.000,0.000,0,254.314,254.314,0.000,254.314,254.314,0,0.000,0.000,0.000,0.000,0.000,0,0.00,0.00,0.00,0.00,0.600,0.600,0.603,0.000,0.000,0.000,0.126,0.126,0.126,0.000,0.000,0.000,32000000
