query_len,target_len,k,tool,extra_time_ms
20,100000,3,search,0.0010830000000000006
20,100000,3,tiling,0
20,100000,3,edlib,0.039256999999999986
20,100000,3,parasail,0
20,100000,0.01,search,0.0012514999999999991
20,100000,0.01,tiling,0
20,100000,0.01,edlib,0.03916399999999998
20,100000,0.01,parasail,0
20,100000,0.05,search,0.0012234999999999954
20,100000,0.05,tiling,0
20,100000,0.05,edlib,0.03915200000000002
20,100000,0.05,parasail,0
30,100000,3,search,0.0014339999999999908
30,100000,3,tiling,0
30,100000,3,edlib,0.039771500000000015
30,100000,3,parasail,0
30,100000,0.01,search,0.0016320000000000015
30,100000,0.01,tiling,0
30,100000,0.01,edlib,0.03981299999999999
30,100000,0.01,parasail,0
30,100000,0.05,search,0.0015420000000000017
30,100000,0.05,tiling,0
30,100000,0.05,edlib,0.03976000000000002
30,100000,0.05,parasail,0
50,100000,3,search,0.002154000000000003
50,100000,3,tiling,0
50,100000,3,edlib,0.04078000000000004
50,100000,3,parasail,0
50,100000,0.01,search,0.002343999999999999
50,100000,0.01,tiling,0
50,100000,0.01,edlib,0.04081299999999999
50,100000,0.01,parasail,0
50,100000,0.05,search,0.002137
50,100000,0.05,tiling,0
50,100000,0.05,edlib,0.040813999999999906
50,100000,0.05,parasail,0
100,100000,3,search,0.004280999999999993
100,100000,3,tiling,0
100,100000,3,edlib,0.04508800000000002
100,100000,3,parasail,0
100,100000,20,search,0.008381
100,100000,20,tiling,0
100,100000,20,edlib,0.045262000000000024
100,100000,20,parasail,0
100,100000,0.01,search,0.005245
100,100000,0.01,tiling,0
100,100000,0.01,edlib,0.045074999999999976
100,100000,0.01,parasail,0
100,100000,0.05,search,0.0043985
100,100000,0.05,tiling,0
100,100000,0.05,edlib,0.04518100000000003
100,100000,0.05,parasail,0
200,100000,3,search,0.011967500000000006
200,100000,3,tiling,0
200,100000,3,edlib,0.053730500000000014
200,100000,3,parasail,0
200,100000,20,search,0.011970000000000008
200,100000,20,tiling,0
200,100000,20,edlib,0.053983
200,100000,20,parasail,0
200,100000,0.01,search,0.011470500000000002
200,100000,0.01,tiling,0
200,100000,0.01,edlib,0.053749999999999964
200,100000,0.01,parasail,0
200,100000,0.05,search,0.012225
200,100000,0.05,tiling,0
200,100000,0.05,edlib,0.053794999999999926
200,100000,0.05,parasail,0
300,100000,3,search,0.019860000000000003
300,100000,3,tiling,0
300,100000,3,edlib,0.06300899999999998
300,100000,3,parasail,0
300,100000,20,search,0.01883599999999999
300,100000,20,tiling,0
300,100000,20,edlib,0.06334500000000004
300,100000,20,parasail,0
300,100000,0.01,search,0.019995
300,100000,0.01,tiling,0
300,100000,0.01,edlib,0.06293349999999998
300,100000,0.01,parasail,0
300,100000,0.05,search,0.019173499999999996
300,100000,0.05,tiling,0
300,100000,0.05,edlib,0.0632125
300,100000,0.05,parasail,0
500,100000,3,search,0.04496800000000001
500,100000,3,tiling,0
500,100000,3,edlib,0.08656399999999997
500,100000,3,parasail,0
500,100000,20,search,0.045903
500,100000,20,tiling,0
500,100000,20,edlib,0.08708299999999997
500,100000,20,parasail,0
500,100000,0.01,search,0.044955999999999996
500,100000,0.01,tiling,0
500,100000,0.01,edlib,0.08657799999999999
500,100000,0.01,parasail,0
500,100000,0.05,search,0.045408500000000004
500,100000,0.05,tiling,0
500,100000,0.05,edlib,0.08726600000000001
500,100000,0.05,parasail,0
1000,100000,3,search,0.15251900000000002
1000,100000,3,tiling,0
1000,100000,3,edlib,0.15666750000000002
1000,100000,3,parasail,0
1000,100000,20,search,0.1521965
1000,100000,20,tiling,0
1000,100000,20,edlib,0.15778800000000004
1000,100000,20,parasail,0
1000,100000,0.01,search,0.15193399999999999
1000,100000,0.01,tiling,0
1000,100000,0.01,edlib,0.15725250000000002
1000,100000,0.01,parasail,0
1000,100000,0.05,search,0.164306
1000,100000,0.05,tiling,0
1000,100000,0.05,edlib,0.1549569999999998
1000,100000,0.05,parasail,0
