query_len,target_len,k,algorithm,median_ms,mean_ms,std_ms,ci_lower_ms,ci_upper_ms,throughput_gbps,ci_lower_throughput_gbps,ci_upper_throughput_gbps,total_bytes
23,50,0,sassy_search,0.042,0.043,0.004,0.042,0.044,0.152,0.146,0.152,6400
23,50,0,sassy_patterns,0.017,0.018,0.001,0.017,0.018,0.369,0.360,0.368,6400
23,50,0,sassy_tiling,0.002,0.002,0.000,0.002,0.002,3.758,3.752,3.758,6400
23,50,0,edlib,1.103,1.104,0.003,1.104,1.105,0.006,0.006,0.006,6400
23,50,3,sassy_search,0.040,0.040,0.001,0.040,0.040,0.160,0.158,0.160,6400
23,50,3,sassy_patterns,0.018,0.018,0.000,0.018,0.018,0.356,0.353,0.357,6400
23,50,3,sassy_tiling,0.001,0.001,0.000,0.001,0.001,6.084,5.900,5.991,6400
23,50,3,edlib,1.103,1.104,0.003,1.103,1.105,0.006,0.006,0.006,6400
23,50,4,sassy_search,0.044,0.044,0.001,0.044,0.044,0.147,0.145,0.147,6400
23,50,4,sassy_patterns,0.019,0.019,0.001,0.019,0.019,0.343,0.339,0.343,6400
23,50,4,sassy_tiling,0.002,0.002,0.000,0.002,0.002,4.046,4.055,4.087,6400
23,50,4,edlib,1.103,1.104,0.002,1.103,1.104,0.006,0.006,0.006,6400
23,100,0,sassy_search,0.050,0.050,0.001,0.050,0.050,0.258,0.253,0.256,12800
23,100,0,sassy_patterns,0.020,0.020,0.001,0.020,0.020,0.635,0.627,0.636,12800
23,100,0,sassy_tiling,0.003,0.003,0.000,0.003,0.003,3.861,3.857,3.866,12800
23,100,0,edlib,1.139,1.140,0.002,1.139,1.140,0.011,0.011,0.011,12800
23,100,3,sassy_search,0.053,0.054,0.001,0.053,0.054,0.240,0.238,0.240,12800
23,100,3,sassy_patterns,0.023,0.023,0.001,0.023,0.023,0.567,0.560,0.567,12800
23,100,3,sassy_tiling,0.002,0.002,0.000,0.002,0.002,6.390,6.090,6.524,12800
23,100,3,edlib,1.139,1.140,0.002,1.140,1.141,0.011,0.011,0.011,12800
23,100,4,sassy_search,0.060,0.061,0.002,0.060,0.061,0.214,0.210,0.212,12800
23,100,4,sassy_patterns,0.023,0.023,0.001,0.023,0.023,0.553,0.548,0.554,12800
23,100,4,sassy_tiling,0.003,0.003,0.000,0.003,0.003,4.109,3.996,4.057,12800
23,100,4,edlib,1.140,1.141,0.002,1.140,1.141,0.011,0.011,0.011,12800
