num_queries,search_median_ms,search_mean_ms,search_std_ms,search_ci_lower_ms,search_ci_upper_ms,patterns_median_ms,patterns_mean_ms,patterns_std_ms,patterns_ci_lower_ms,patterns_ci_upper_ms,tiling_median_ms,tiling_mean_ms,tiling_std_ms,tiling_ci_lower_ms,tiling_ci_upper_ms,edlib_median_ms,edlib_mean_ms,edlib_std_ms,edlib_ci_lower_ms,edlib_ci_upper_ms,search_ipc,patterns_ipc,tiling_ipc,edlib_ipc,search_throughput_gbps,search_ci_lower_throughput_gbps,search_ci_upper_throughput_gbps,patterns_throughput_gbps,patterns_ci_lower_throughput_gbps,patterns_ci_upper_throughput_gbps,tiling_throughput_gbps,tiling_ci_lower_throughput_gbps,tiling_ci_upper_throughput_gbps,edlib_throughput_gbps,edlib_ci_lower_throughput_gbps,edlib_ci_upper_throughput_gbps,throughput_bytes
1,0.050,0.051,0.003,0.050,0.051,0.202,0.203,0.006,0.202,0.204,0.887,0.888,0.004,0.887,0.888,0.563,0.566,0.010,0.564,0.568,3.55,3.93,2.70,5.49,1.993,1.950,1.996,0.496,0.490,0.495,0.113,0.113,0.113,0.178,0.176,0.17721136472168134,100000
2,0.100,0.101,0.002,0.101,0.101,0.223,0.225,0.005,0.224,0.226,0.703,0.704,0.012,0.702,0.707,1.121,1.131,0.018,1.127,1.134,3.61,3.98,2.71,5.49,1.992,1.971,1.989,0.895,0.885,0.893,0.284,0.283,0.285,0.178,0.176,0.17739974409458031,200000
4,0.202,0.203,0.003,0.202,0.203,0.242,0.244,0.004,0.243,0.244,0.868,0.871,0.014,0.869,0.874,2.248,2.258,0.023,2.254,2.263,3.64,3.83,2.71,5.48,1.976,1.968,1.978,1.652,1.637,1.647,0.461,0.458,0.461,0.178,0.177,0.17748581040685074,400000
8,0.408,0.409,0.003,0.408,0.409,0.477,0.476,0.003,0.476,0.477,0.869,0.896,0.145,0.867,0.924,4.523,4.529,0.036,4.522,4.536,3.58,3.77,2.51,5.46,1.960,1.954,1.961,1.679,1.677,1.681,0.920,0.865,0.922,0.177,0.176,0.1769017946833648,800000
16,0.869,0.869,0.004,0.869,0.870,0.994,0.996,0.005,0.995,0.997,0.875,0.930,0.250,0.881,0.979,9.055,9.050,0.044,9.042,9.059,3.38,3.61,2.71,5.46,1.842,1.839,1.842,1.610,1.605,1.608,1.828,1.634,1.816,0.177,0.177,0.17696072074866487,1600000
32,1.765,1.770,0.015,1.767,1.773,2.023,2.027,0.014,2.024,2.029,0.722,0.722,0.003,0.721,0.722,18.128,18.137,0.069,18.124,18.151,3.32,3.55,2.69,5.47,1.813,1.805,1.811,1.582,1.577,1.581,4.433,4.430,4.436,0.177,0.176,0.17656454078082998,3200000
48,2.657,2.657,0.007,2.655,2.658,3.031,3.032,0.009,3.030,3.034,1.088,1.102,0.074,1.088,1.117,27.176,27.180,0.082,27.164,27.196,3.32,3.52,3.56,5.47,1.807,1.806,1.808,1.584,1.582,1.584,4.413,4.298,4.412,0.177,0.176,0.1767046678048322,4800000
64,3.559,3.563,0.015,3.560,3.566,4.040,4.044,0.017,4.041,4.047,1.092,1.098,0.039,1.090,1.106,36.221,36.226,0.105,36.206,36.247,3.29,3.52,3.56,5.46,1.798,1.795,1.798,1.584,1.581,1.584,5.861,5.789,5.871,0.177,0.177,0.17676794676672425,6400000
96,5.369,5.378,0.028,5.372,5.383,6.073,6.081,0.025,6.076,6.086,1.678,1.680,0.007,1.679,1.682,54.368,54.359,0.150,54.329,54.388,3.31,3.52,2.99,5.47,1.788,1.783,1.787,1.581,1.577,1.580,5.720,5.709,5.719,0.177,0.177,0.17669990652601164,9600000
128,7.112,7.111,0.024,7.106,7.116,8.096,8.110,0.037,8.103,8.117,2.011,2.013,0.008,2.011,2.014,72.458,72.464,0.142,72.436,72.492,3.31,3.51,3.13,5.46,1.800,1.799,1.801,1.581,1.577,1.580,6.366,6.354,6.364,0.177,0.177,0.1767081285686849,12800000
