query_len,target_len,k,algorithm,median_ms,mean_ms,std_ms,ci_lower_ms,ci_upper_ms,throughput_gbps,ci_lower_throughput_gbps,ci_upper_throughput_gbps,total_bytes
23,50,0,sassy_search,0.076,0.076,0.001,0.076,0.077,0.084,0.084,0.084,6400
23,50,0,sassy_patterns,0.038,0.038,0.001,0.038,0.038,0.168,0.167,0.168,6400
23,50,0,sassy_tiling,0.002,0.002,0.000,0.002,0.002,4.250,4.192,4.247,6400
23,50,0,edlib,1.216,1.224,0.073,1.219,1.228,0.005,0.005,0.005,6400
23,50,3,sassy_search,0.080,0.080,0.001,0.080,0.080,0.080,0.080,0.080,6400
23,50,3,sassy_patterns,0.040,0.040,0.001,0.040,0.040,0.162,0.162,0.162,6400
23,50,3,sassy_tiling,0.002,0.002,0.000,0.002,0.002,2.639,2.626,2.641,6400
23,50,3,edlib,1.217,1.277,0.197,1.265,1.289,0.005,0.005,0.005,6400
23,50,4,sassy_search,0.085,0.085,0.003,0.085,0.086,0.075,0.075,0.075,6400
23,50,4,sassy_patterns,0.041,0.041,0.002,0.041,0.041,0.157,0.155,0.156,6400
23,50,4,sassy_tiling,0.004,0.004,0.001,0.004,0.004,1.568,1.495,1.520,6400
23,50,4,edlib,1.216,1.217,0.011,1.217,1.218,0.005,0.005,0.005,6400
23,100,0,sassy_search,0.095,0.096,0.002,0.095,0.096,0.134,0.134,0.134,12800
23,100,0,sassy_patterns,0.043,0.043,0.002,0.043,0.043,0.298,0.296,0.297,12800
23,100,0,sassy_tiling,0.003,0.003,0.000,0.003,0.003,4.437,4.323,4.381,12800
23,100,0,edlib,1.273,1.283,0.058,1.279,1.286,0.010,0.010,0.010,12800
23,100,3,sassy_search,0.101,0.101,0.002,0.101,0.101,0.127,0.126,0.127,12800
23,100,3,sassy_patterns,0.048,0.049,0.005,0.049,0.049,0.268,0.259,0.262,12800
23,100,3,sassy_tiling,0.005,0.005,0.000,0.005,0.005,2.691,2.626,2.657,12800
23,100,3,edlib,1.278,1.282,0.041,1.280,1.285,0.010,0.010,0.010,12800
23,100,4,sassy_search,0.116,0.119,0.013,0.118,0.120,0.111,0.107,0.108,12800
23,100,4,sassy_patterns,0.049,0.050,0.002,0.049,0.050,0.260,0.258,0.259,12800
23,100,4,sassy_tiling,0.008,0.009,0.001,0.009,0.009,1.555,1.444,1.475,12800
23,100,4,edlib,1.277,1.281,0.039,1.279,1.284,0.010,0.010,0.010,12800
23,250,0,sassy_search,0.096,0.097,0.006,0.097,0.097,0.333,0.328,0.331,32000
23,250,0,sassy_patterns,0.054,0.054,0.001,0.054,0.054,0.595,0.591,0.593,32000
23,250,0,sassy_tiling,0.007,0.007,0.000,0.007,0.007,4.593,4.521,4.557,32000
23,250,0,edlib,1.455,1.464,0.066,1.460,1.468,0.022,0.022,0.022,32000
23,250,3,sassy_search,0.114,0.117,0.008,0.117,0.118,0.281,0.271,0.274,32000
23,250,3,sassy_patterns,0.066,0.067,0.002,0.067,0.067,0.481,0.477,0.479,32000
23,250,3,sassy_tiling,0.014,0.014,0.001,0.014,0.014,2.292,2.254,2.271,32000
23,250,3,edlib,1.458,1.463,0.045,1.460,1.466,0.022,0.022,0.022,32000
23,250,4,sassy_search,0.119,0.120,0.003,0.120,0.120,0.268,0.267,0.268,32000
23,250,4,sassy_patterns,0.067,0.068,0.002,0.068,0.068,0.475,0.472,0.474,32000
23,250,4,sassy_tiling,0.020,0.020,0.006,0.020,0.021,1.594,1.538,1.598,32000
23,250,4,edlib,1.455,1.465,0.069,1.460,1.469,0.022,0.022,0.022,32000
23,500,0,sassy_search,0.116,0.117,0.003,0.117,0.117,0.550,0.547,0.549,64000
23,500,0,sassy_patterns,0.076,0.076,0.002,0.076,0.076,0.842,0.838,0.840,64000
23,500,0,sassy_tiling,0.015,0.015,0.001,0.015,0.015,4.387,4.325,4.357,64000
23,500,0,edlib,1.760,1.775,0.085,1.770,1.780,0.036,0.036,0.036,64000
23,500,3,sassy_search,0.146,0.147,0.003,0.147,0.147,0.438,0.436,0.437,64000
23,500,3,sassy_patterns,0.100,0.101,0.002,0.101,0.101,0.637,0.633,0.635,64000
23,500,3,sassy_tiling,0.027,0.027,0.001,0.027,0.027,2.405,2.376,2.390,64000
23,500,3,edlib,1.752,1.761,0.067,1.757,1.765,0.037,0.036,0.036,64000
23,500,4,sassy_search,0.151,0.152,0.004,0.152,0.152,0.423,0.421,0.422,64000
23,500,4,sassy_patterns,0.101,0.101,0.002,0.101,0.101,0.637,0.633,0.635,64000
23,500,4,sassy_tiling,0.041,0.041,0.002,0.041,0.041,1.572,1.556,1.564,64000
23,500,4,edlib,1.747,1.756,0.068,1.752,1.760,0.037,0.036,0.037,64000
23,1000,0,sassy_search,0.156,0.157,0.004,0.156,0.157,0.820,0.816,0.818,128000
23,1000,0,sassy_patterns,0.117,0.117,0.003,0.117,0.117,1.098,1.092,1.095,128000
23,1000,0,sassy_tiling,0.027,0.027,0.001,0.027,0.027,4.729,4.677,4.697,128000
23,1000,0,edlib,2.349,2.408,0.264,2.392,2.424,0.054,0.053,0.054,128000
23,1000,3,sassy_search,0.211,0.226,0.039,0.224,0.229,0.606,0.560,0.572,128000
23,1000,3,sassy_patterns,0.167,0.170,0.016,0.169,0.171,0.769,0.748,0.757,128000
23,1000,3,sassy_tiling,0.047,0.048,0.003,0.048,0.048,2.711,2.666,2.686,128000
23,1000,3,edlib,2.348,2.364,0.108,2.358,2.371,0.055,0.054,0.054,128000
23,1000,4,sassy_search,0.218,0.222,0.011,0.221,0.222,0.587,0.576,0.579,128000
23,1000,4,sassy_patterns,0.167,0.168,0.006,0.168,0.169,0.765,0.759,0.762,128000
23,1000,4,sassy_tiling,0.083,0.083,0.001,0.083,0.083,1.539,1.535,1.537,128000
23,1000,4,edlib,2.353,2.379,0.133,2.371,2.387,0.054,0.054,0.054,128000
23,10000,0,sassy_search,0.872,0.876,0.030,0.875,0.878,1.467,1.457,1.464,1280000
23,10000,0,sassy_patterns,0.837,0.840,0.020,0.839,0.842,1.529,1.521,1.525,1280000
23,10000,0,sassy_tiling,0.278,0.302,0.063,0.298,0.306,4.611,4.184,4.294,1280000
23,10000,0,edlib,13.098,13.275,0.653,13.235,13.316,0.098,0.096,0.097,1280000
23,10000,3,sassy_search,1.315,1.319,0.035,1.317,1.321,0.973,0.969,0.972,1280000
23,10000,3,sassy_patterns,1.318,1.386,0.192,1.374,1.398,0.971,0.916,0.932,1280000
23,10000,3,sassy_tiling,0.454,0.462,0.044,0.460,0.465,2.821,2.753,2.786,1280000
23,10000,3,edlib,13.081,13.373,1.314,13.291,13.454,0.098,0.095,0.096,1280000
23,10000,4,sassy_search,1.334,1.341,0.036,1.339,1.344,0.959,0.953,0.956,1280000
23,10000,4,sassy_patterns,1.309,1.310,0.012,1.309,1.311,0.978,0.976,0.978,1280000
23,10000,4,sassy_tiling,0.820,0.879,0.173,0.869,0.890,1.562,1.438,1.474,1280000
23,10000,4,edlib,13.092,13.438,1.463,13.347,13.529,0.098,0.095,0.096,1280000
