num_queries,search_median_ms,search_mean_ms,search_std_ms,search_ci_lower_ms,search_ci_upper_ms,patterns_median_ms,patterns_mean_ms,patterns_std_ms,patterns_ci_lower_ms,patterns_ci_upper_ms,tiling_median_ms,tiling_mean_ms,tiling_std_ms,tiling_ci_lower_ms,tiling_ci_upper_ms,edlib_median_ms,edlib_mean_ms,edlib_std_ms,edlib_ci_lower_ms,edlib_ci_upper_ms,search_ipc,patterns_ipc,tiling_ipc,edlib_ipc,search_throughput_gbps,search_ci_lower_throughput_gbps,search_ci_upper_throughput_gbps,patterns_throughput_gbps,patterns_ci_lower_throughput_gbps,patterns_ci_upper_throughput_gbps,tiling_throughput_gbps,tiling_ci_lower_throughput_gbps,tiling_ci_upper_throughput_gbps,edlib_throughput_gbps,edlib_ci_lower_throughput_gbps,edlib_ci_upper_throughput_gbps,throughput_bytes
1,0.098,0.099,0.004,0.098,0.099,0.357,0.357,0.003,0.357,0.358,0.855,0.857,0.020,0.856,0.859,0.944,0.980,0.138,0.972,0.989,2.54,2.88,3.36,3.94,1.021,1.012,1.017,0.280,0.280,0.280,0.117,0.116,0.117,0.106,0.101,0.10293153308271477,100000
2,0.195,0.195,0.003,0.195,0.196,0.393,0.404,0.035,0.402,0.406,0.856,0.861,0.022,0.860,0.863,1.885,1.895,0.070,1.891,1.900,2.56,2.85,3.43,3.95,1.027,1.023,1.024,0.508,0.492,0.498,0.234,0.232,0.233,0.106,0.105,0.10577067082075645,200000
4,0.391,0.392,0.004,0.392,0.392,0.392,0.396,0.024,0.395,0.398,0.857,0.852,0.012,0.851,0.853,3.767,3.774,0.078,3.769,3.779,2.55,2.82,3.13,3.95,1.023,1.020,1.021,1.019,1.006,1.013,0.467,0.469,0.470,0.106,0.106,0.10612414859377964,400000
8,0.790,0.794,0.028,0.793,0.796,0.791,0.794,0.033,0.792,0.796,0.858,0.859,0.003,0.858,0.859,7.534,7.579,0.360,7.557,7.601,2.52,2.82,3.22,3.95,1.012,1.005,1.009,1.012,1.005,1.010,0.932,0.932,0.932,0.106,0.105,0.10586646493296822,800000
16,1.573,1.575,0.021,1.574,1.576,1.596,1.598,0.024,1.596,1.599,0.890,0.890,0.003,0.890,0.890,15.073,15.221,0.880,15.167,15.276,2.53,2.84,3.02,3.95,1.017,1.015,1.017,1.002,1.000,1.002,1.798,1.797,1.798,0.106,0.105,0.10549393219340447,1600000
32,3.154,3.222,0.302,3.203,3.240,3.162,3.169,0.037,3.167,3.171,1.476,1.477,0.022,1.476,1.479,30.148,30.345,1.346,30.261,30.428,2.52,2.82,3.15,3.95,1.014,0.988,0.999,1.012,1.009,1.010,2.168,2.164,2.168,0.106,0.105,0.10574599048524824,3200000
48,4.783,4.794,0.095,4.788,4.800,4.749,4.770,0.194,4.758,4.782,2.054,2.056,0.009,2.055,2.056,45.243,45.928,3.483,45.713,46.144,2.51,2.82,3.13,3.94,1.004,1.000,1.002,1.011,1.004,1.009,2.337,2.334,2.335,0.106,0.104,0.10500406070989379,4800000
64,6.325,6.396,0.432,6.369,6.423,6.466,6.615,0.609,6.577,6.652,3.162,3.192,0.100,3.185,3.198,60.336,61.148,3.819,60.912,61.385,2.52,2.80,3.16,3.95,1.012,0.996,1.005,0.990,0.962,0.973,2.024,2.001,2.009,0.106,0.104,0.1050703261833986,6400000
96,9.487,9.592,0.332,9.571,9.612,9.510,9.646,0.651,9.606,9.686,3.521,3.579,0.524,3.547,3.611,90.557,92.097,6.503,91.694,92.500,2.51,2.81,3.32,3.95,1.012,0.999,1.003,1.009,0.991,0.999,2.727,2.658,2.707,0.106,0.104,0.10469590208881052,9600000
128,12.790,12.912,0.662,12.871,12.953,12.698,12.853,0.869,12.799,12.907,4.822,4.874,0.225,4.860,4.888,128.016,128.691,3.411,128.479,128.902,2.51,2.81,3.20,3.95,1.001,0.988,0.994,1.008,0.992,1.000,2.655,2.619,2.634,0.100,0.099,0.09962703894645357,12800000
