query_len,target_len,k,algorithm,median_ms,mean_ms,std_ms,ci_lower_ms,ci_upper_ms,throughput_gbps,ci_lower_throughput_gbps,ci_upper_throughput_gbps,total_bytes
23,50,0,sassy_search,0.039,0.040,0.002,0.039,0.040,0.163,0.160,0.162,6400
23,50,0,sassy_patterns,0.017,0.018,0.001,0.018,0.018,0.367,0.351,0.359,6400
23,50,0,sassy_tiling,0.001,0.001,0.000,0.001,0.001,9.567,9.520,9.581,6400
23,50,0,edlib,0.776,0.782,0.012,0.780,0.785,0.008,0.008,0.008,6400
23,50,3,sassy_search,0.041,0.041,0.002,0.040,0.041,0.157,0.156,0.158,6400
23,50,3,sassy_patterns,0.018,0.018,0.000,0.018,0.018,0.358,0.355,0.358,6400
23,50,3,sassy_tiling,0.001,0.001,0.000,0.001,0.001,8.672,8.624,8.664,6400
23,50,3,edlib,0.777,0.783,0.013,0.781,0.786,0.008,0.008,0.008,6400
23,50,4,sassy_search,0.042,0.043,0.003,0.042,0.043,0.152,0.147,0.151,6400
23,50,4,sassy_patterns,0.018,0.019,0.000,0.018,0.019,0.347,0.344,0.347,6400
23,50,4,sassy_tiling,0.001,0.001,0.000,0.001,0.001,5.216,5.225,5.245,6400
23,50,4,edlib,0.776,0.783,0.012,0.780,0.785,0.008,0.008,0.008,6400
23,100,0,sassy_search,0.045,0.046,0.002,0.045,0.046,0.282,0.277,0.282,12800
23,100,0,sassy_patterns,0.020,0.020,0.000,0.020,0.020,0.649,0.642,0.647,12800
23,100,0,sassy_tiling,0.002,0.002,0.001,0.002,0.002,7.029,6.367,7.253,12800
23,100,0,edlib,0.806,0.812,0.013,0.809,0.815,0.016,0.016,0.016,12800
23,100,3,sassy_search,0.050,0.051,0.002,0.051,0.052,0.254,0.248,0.252,12800
23,100,3,sassy_patterns,0.022,0.022,0.001,0.022,0.022,0.577,0.573,0.579,12800
23,100,3,sassy_tiling,0.001,0.001,0.000,0.001,0.001,9.370,9.349,9.371,12800
23,100,3,edlib,0.804,0.810,0.013,0.808,0.813,0.016,0.016,0.016,12800
23,100,4,sassy_search,0.056,0.057,0.003,0.056,0.058,0.228,0.222,0.227,12800
23,100,4,sassy_patterns,0.023,0.023,0.001,0.023,0.023,0.562,0.546,0.557,12800
23,100,4,sassy_tiling,0.002,0.002,0.000,0.002,0.002,5.344,5.346,5.362,12800
23,100,4,edlib,0.805,0.811,0.013,0.809,0.814,0.016,0.016,0.016,12800
23,250,0,sassy_search,0.048,0.049,0.002,0.048,0.049,0.661,0.654,0.663,32000
23,250,0,sassy_patterns,0.025,0.025,0.000,0.025,0.025,1.290,1.283,1.292,32000
23,250,0,sassy_tiling,0.003,0.003,0.000,0.003,0.003,9.922,9.907,9.932,32000
23,250,0,edlib,0.894,0.900,0.013,0.897,0.902,0.036,0.035,0.036,32000
23,250,3,sassy_search,0.056,0.056,0.002,0.056,0.057,0.573,0.565,0.573,32000
23,250,3,sassy_patterns,0.029,0.030,0.001,0.029,0.030,1.090,1.079,1.088,32000
23,250,3,sassy_tiling,0.004,0.004,0.000,0.004,0.004,7.784,7.694,7.785,32000
23,250,3,edlib,0.893,0.899,0.014,0.897,0.902,0.036,0.035,0.036,32000
23,250,4,sassy_search,0.057,0.058,0.003,0.058,0.059,0.557,0.546,0.555,32000
23,250,4,sassy_patterns,0.030,0.030,0.001,0.030,0.030,1.064,1.061,1.070,32000
23,250,4,sassy_tiling,0.006,0.006,0.000,0.006,0.006,5.599,5.480,5.614,32000
23,250,4,edlib,0.892,0.899,0.013,0.896,0.901,0.036,0.036,0.036,32000
23,500,0,sassy_search,0.057,0.057,0.002,0.057,0.057,1.130,1.115,1.128,64000
23,500,0,sassy_patterns,0.035,0.035,0.001,0.035,0.035,1.849,1.830,1.842,64000
23,500,0,sassy_tiling,0.007,0.007,0.000,0.007,0.007,8.977,8.828,9.025,64000
23,500,0,edlib,1.038,1.043,0.014,1.040,1.046,0.062,0.061,0.062,64000
23,500,3,sassy_search,0.072,0.073,0.002,0.072,0.073,0.884,0.878,0.886,64000
23,500,3,sassy_patterns,0.044,0.045,0.001,0.044,0.045,1.448,1.431,1.439,64000
23,500,3,sassy_tiling,0.007,0.007,0.000,0.007,0.007,8.977,8.927,8.994,64000
23,500,3,edlib,1.038,1.043,0.014,1.040,1.046,0.062,0.061,0.062,64000
23,500,4,sassy_search,0.072,0.073,0.002,0.072,0.073,0.891,0.878,0.887,64000
23,500,4,sassy_patterns,0.044,0.045,0.001,0.044,0.045,1.453,1.430,1.441,64000
23,500,4,sassy_tiling,0.012,0.012,0.001,0.012,0.012,5.326,5.246,5.365,64000
23,500,4,edlib,1.041,1.045,0.016,1.042,1.048,0.061,0.061,0.061,64000
