num_queries,search_median_ms,search_mean_ms,search_std_ms,search_ci_lower_ms,search_ci_upper_ms,patterns_median_ms,patterns_mean_ms,patterns_std_ms,patterns_ci_lower_ms,patterns_ci_upper_ms,tiling_median_ms,tiling_mean_ms,tiling_std_ms,tiling_ci_lower_ms,tiling_ci_upper_ms,edlib_median_ms,edlib_mean_ms,edlib_std_ms,edlib_ci_lower_ms,edlib_ci_upper_ms,search_ipc,patterns_ipc,tiling_ipc,edlib_ipc,search_throughput_gbps,search_ci_lower_throughput_gbps,search_ci_upper_throughput_gbps,patterns_throughput_gbps,patterns_ci_lower_throughput_gbps,patterns_ci_upper_throughput_gbps,tiling_throughput_gbps,tiling_ci_lower_throughput_gbps,tiling_ci_upper_throughput_gbps,edlib_throughput_gbps,edlib_ci_lower_throughput_gbps,edlib_ci_upper_throughput_gbps,throughput_bytes
1,0.047,0.048,0.002,0.048,0.049,0.168,0.169,0.003,0.169,0.170,0.483,0.484,0.005,0.483,0.485,0.451,0.456,0.009,0.454,0.457,3.54,3.93,4.53,6.26,2.109,2.061,2.103,0.596,0.589,0.593,0.207,0.206,0.207,0.222,0.219,0.2202610704634957,100000
2,0.095,0.096,0.002,0.095,0.096,0.186,0.188,0.004,0.187,0.189,0.479,0.481,0.004,0.480,0.482,0.905,0.918,0.028,0.913,0.924,3.59,3.96,4.53,6.35,2.113,2.083,2.102,1.077,1.061,1.069,0.418,0.415,0.417,0.221,0.217,0.2191571804542331,200000
4,0.196,0.197,0.004,0.196,0.198,0.190,0.192,0.003,0.191,0.192,0.483,0.485,0.012,0.483,0.487,1.826,1.833,0.040,1.825,1.841,3.50,3.86,4.54,6.35,2.043,2.019,2.036,2.100,2.081,2.094,0.829,0.821,0.829,0.219,0.217,0.2191368294564633,400000
8,0.401,0.404,0.008,0.402,0.405,0.386,0.390,0.009,0.388,0.391,0.489,0.490,0.005,0.489,0.491,3.648,3.679,0.063,3.667,3.692,3.35,3.74,4.49,6.31,1.993,1.974,1.989,2.074,2.044,2.062,1.636,1.630,1.637,0.219,0.217,0.2181575690587395,800000
16,0.822,0.827,0.012,0.825,0.829,0.801,0.806,0.014,0.803,0.808,0.486,0.487,0.006,0.486,0.488,7.304,7.341,0.121,7.318,7.365,3.32,3.65,4.51,6.32,1.947,1.929,1.940,1.998,1.979,1.993,3.295,3.276,3.293,0.219,0.217,0.21864860040983292,1600000
32,1.657,1.669,0.023,1.664,1.673,1.619,1.623,0.016,1.620,1.626,0.492,0.493,0.005,0.492,0.494,14.654,14.675,0.122,14.651,14.699,3.30,3.65,4.49,6.29,1.931,1.912,1.923,1.977,1.967,1.975,6.503,6.477,6.502,0.218,0.218,0.21841465355991957,3200000
48,2.502,2.508,0.021,2.504,2.513,2.423,2.429,0.071,2.415,2.443,0.798,0.800,0.003,0.799,0.800,22.024,22.043,0.166,22.010,22.075,3.29,3.63,4.51,6.30,1.919,1.910,1.917,1.981,1.965,1.987,6.012,5.997,6.007,0.218,0.217,0.2180795020468103,4800000
64,3.333,3.339,0.025,3.334,3.344,3.256,3.260,0.063,3.248,3.273,0.803,0.804,0.003,0.803,0.804,29.311,29.338,0.183,29.302,29.374,3.29,3.61,4.47,6.29,1.920,1.914,1.920,1.966,1.956,1.971,7.974,7.958,7.972,0.218,0.218,0.21841314095221281,6400000
96,5.033,5.032,0.069,5.019,5.046,4.884,4.887,0.011,4.885,4.889,1.122,1.124,0.006,1.122,1.125,43.924,43.949,0.183,43.913,43.985,3.28,3.62,4.39,6.28,1.908,1.903,1.913,1.966,1.963,1.965,8.556,8.534,8.553,0.219,0.218,0.2186131609897881,9600000
128,6.714,6.713,0.019,6.709,6.717,6.538,6.545,0.073,6.530,6.559,1.396,1.398,0.009,1.396,1.400,58.627,58.653,0.220,58.610,58.696,3.28,3.60,4.51,6.29,1.906,1.906,1.908,1.958,1.952,1.960,9.171,9.143,9.166,0.218,0.218,0.21839212354174403,12800000
