num_queries,target_len,query_len,k,search_median_ms,search_mean_ms,search_std_ms,search_ci_lower_ms,search_ci_upper_ms,search_n_matches,tiling_median_ms,tiling_mean_ms,tiling_std_ms,tiling_ci_lower_ms,tiling_ci_upper_ms,tiling_n_matches,edlib_median_ms,edlib_mean_ms,edlib_std_ms,edlib_ci_lower_ms,edlib_ci_upper_ms,edlib_n_matches,search_ipc,tiling_ipc,edlib_ipc,search_throughput_gbps,search_ci_lower_throughput_gbps,search_ci_upper_throughput_gbps,tiling_throughput_gbps,tiling_ci_lower_throughput_gbps,tiling_ci_upper_throughput_gbps,edlib_throughput_gbps,edlib_ci_lower_throughput_gbps,edlib_ci_upper_throughput_gbps,throughput_bytes
128,50,23,0,0.039,0.040,0.001,0.040,0.040,0,0.004,0.004,0.001,0.004,0.004,0,0.748,0.754,0.025,0.753,0.755,0,3.37,2.85,3.86,0.163,0.161,0.161,1.800,1.750,1.755,0.009,0.008,0.009,6400
128,50,23,3,0.041,0.042,0.004,0.042,0.042,0,0.004,0.004,0.001,0.004,0.004,0,0.750,0.755,0.023,0.754,0.757,0,3.40,3.03,3.88,0.155,0.154,0.154,1.525,1.487,1.491,0.009,0.008,0.008,6400
128,50,23,4,0.044,0.045,0.004,0.045,0.045,0,0.005,0.005,0.002,0.005,0.005,0,0.751,0.758,0.026,0.757,0.759,0,3.46,3.34,3.87,0.145,0.143,0.144,1.311,1.283,1.287,0.009,0.008,0.008,6400
128,100,23,0,0.048,0.049,0.001,0.049,0.049,0,0.005,0.005,0.002,0.005,0.005,0,0.777,0.783,0.022,0.782,0.785,0,3.63,3.08,3.95,0.264,0.262,0.262,2.597,2.490,2.497,0.016,0.016,0.016,12800
128,100,23,3,0.051,0.052,0.005,0.051,0.052,0,0.005,0.006,0.000,0.006,0.006,0,0.777,0.782,0.023,0.781,0.784,0,3.69,3.35,3.94,0.250,0.248,0.249,2.354,2.269,2.271,0.016,0.016,0.016,12800
128,100,23,4,0.058,0.059,0.005,0.059,0.059,0,0.007,0.007,0.002,0.007,0.007,0,0.777,0.782,0.025,0.781,0.784,0,3.74,3.72,3.95,0.220,0.218,0.218,1.813,1.783,1.787,0.016,0.016,0.016,12800
128,150,23,0,0.048,0.048,0.004,0.048,0.048,0,0.005,0.005,0.002,0.005,0.005,0,0.806,0.812,0.023,0.810,0.813,0,3.66,3.32,4.03,0.402,0.397,0.398,3.820,3.744,3.755,0.024,0.024,0.024,19200
128,150,23,3,0.054,0.054,0.005,0.054,0.054,0,0.007,0.008,0.002,0.008,0.008,0,0.809,0.816,0.023,0.815,0.817,0,3.73,3.36,4.03,0.356,0.355,0.356,2.620,2.540,2.547,0.024,0.023,0.024,19200
128,150,23,4,0.059,0.059,0.005,0.059,0.059,0,0.009,0.009,0.002,0.009,0.009,0,0.805,0.811,0.023,0.809,0.812,0,3.74,3.98,4.03,0.325,0.324,0.325,2.088,2.042,2.047,0.024,0.024,0.024,19200
128,250,23,0,0.049,0.049,0.005,0.049,0.049,0,0.006,0.007,0.002,0.007,0.007,0,0.866,0.872,0.023,0.871,0.874,0,3.59,3.60,4.19,0.653,0.647,0.649,4.991,4.907,4.920,0.037,0.037,0.037,32000
128,250,23,3,0.058,0.058,0.005,0.058,0.058,0,0.010,0.010,0.002,0.010,0.010,0,0.867,0.873,0.023,0.872,0.874,0,3.65,3.70,4.18,0.550,0.548,0.549,3.250,3.173,3.181,0.037,0.037,0.037,32000
