num_queries,target_len,query_len,k,search_median_ms,search_mean_ms,search_std_ms,search_ci_lower_ms,search_ci_upper_ms,search_n_matches,tiling_median_ms,tiling_mean_ms,tiling_std_ms,tiling_ci_lower_ms,tiling_ci_upper_ms,tiling_n_matches,edlib_median_ms,edlib_mean_ms,edlib_std_ms,edlib_ci_lower_ms,edlib_ci_upper_ms,edlib_n_matches,search_ipc,tiling_ipc,edlib_ipc,search_throughput_gbps,search_ci_lower_throughput_gbps,search_ci_upper_throughput_gbps,tiling_throughput_gbps,tiling_ci_lower_throughput_gbps,tiling_ci_upper_throughput_gbps,edlib_throughput_gbps,edlib_ci_lower_throughput_gbps,edlib_ci_upper_throughput_gbps,throughput_bytes
1,100000,23,3,0.055,0.055,0.001,0.055,0.055,0,0.484,0.485,0.016,0.484,0.485,0,0.456,0.461,0.019,0.460,0.461,0,3.56,3.89,6.34,1.832,1.812,1.813,0.207,0.206,0.207,0.219,0.217,0.218,100000
2,100000,23,3,0.109,0.109,0.007,0.109,0.110,0,0.485,0.486,0.005,0.486,0.486,0,0.917,0.921,0.031,0.919,0.923,0,3.55,3.89,6.23,1.832,1.826,1.831,0.412,0.411,0.412,0.218,0.217,0.218,200000
4,100000,23,3,0.220,0.220,0.010,0.220,0.221,0,0.488,0.489,0.005,0.488,0.489,0,1.833,1.837,0.044,1.834,1.841,0,3.49,3.89,6.22,1.821,1.813,1.818,0.819,0.818,0.819,0.218,0.217,0.218,400000
8,100000,23,3,0.442,0.444,0.015,0.444,0.445,0,0.489,0.491,0.017,0.490,0.491,0,3.660,3.672,0.061,3.665,3.679,0,3.44,3.88,6.25,1.809,1.798,1.803,1.635,1.628,1.633,0.219,0.217,0.218,800000
16,100000,23,3,0.905,0.908,0.020,0.907,0.910,0,0.490,0.492,0.017,0.491,0.492,0,7.355,7.372,0.098,7.355,7.388,0,3.35,3.88,6.29,1.769,1.759,1.764,3.265,3.249,3.259,0.218,0.217,0.218,1600000
32,100000,23,3,1.819,1.830,0.035,1.827,1.833,0,0.747,0.749,0.019,0.748,0.750,0,14.744,14.771,0.119,14.743,14.799,0,3.33,4.35,6.26,1.759,1.745,1.751,4.284,4.269,4.280,0.217,0.216,0.217,3200000
48,100000,23,3,2.754,2.753,0.038,2.749,2.757,0,1.110,1.109,0.024,1.107,1.110,0,22.198,22.193,0.155,22.148,22.238,0,3.32,4.16,6.27,1.743,1.741,1.746,4.325,4.323,4.335,0.216,0.216,0.217,4800000
64,100000,23,3,3.690,3.688,0.045,3.683,3.693,0,1.365,1.366,0.030,1.364,1.368,0,29.381,29.411,0.163,29.356,29.465,0,3.31,4.37,6.26,1.734,1.733,1.738,4.688,4.677,4.692,0.218,0.217,0.218,6400000
96,100000,23,3,5.526,5.530,0.048,5.523,5.537,0,2.094,2.111,0.050,2.107,2.116,0,44.206,44.254,0.215,44.166,44.342,0,3.30,4.39,6.25,1.737,1.734,1.738,4.584,4.537,4.556,0.217,0.216,0.217,9600000
128,100000,23,3,7.390,7.389,0.063,7.379,7.400,0,2.719,2.722,0.051,2.717,2.727,0,59.171,59.175,0.282,59.041,59.309,0,3.30,4.42,6.26,1.732,1.730,1.735,4.707,4.693,4.711,0.216,0.216,0.217,12800000
