query_len,target_len,k,algorithm,median_ms,mean_ms,std_ms,ci_lower_ms,ci_upper_ms,throughput_gbps,ci_lower_throughput_gbps,ci_upper_throughput_gbps,total_bytes
23,50,0,sassy_search,0.036,0.037,0.002,0.036,0.037,0.177,0.175,0.175,6400
23,50,0,sassy_patterns,0.017,0.017,0.001,0.017,0.017,0.380,0.377,0.378,6400
23,50,0,sassy_tiling,0.001,0.001,0.000,0.001,0.001,10.143,10.033,10.089,6400
23,50,0,edlib,0.839,0.828,0.023,0.828,0.829,0.008,0.008,0.008,6400
23,50,3,sassy_search,0.037,0.038,0.001,0.038,0.038,0.172,0.170,0.171,6400
23,50,3,sassy_patterns,0.016,0.016,0.001,0.016,0.016,0.398,0.396,0.396,6400
23,50,3,sassy_tiling,0.001,0.001,0.000,0.001,0.001,6.324,6.249,6.276,6400
23,50,3,edlib,0.808,0.809,0.009,0.808,0.809,0.008,0.008,0.008,6400
23,50,4,sassy_search,0.040,0.041,0.001,0.041,0.041,0.159,0.158,0.158,6400
23,50,4,sassy_patterns,0.017,0.017,0.001,0.017,0.017,0.375,0.372,0.373,6400
23,50,4,sassy_tiling,0.002,0.002,0.000,0.002,0.002,3.379,3.335,3.350,6400
23,50,4,edlib,0.809,0.810,0.008,0.809,0.810,0.008,0.008,0.008,6400
23,100,0,sassy_search,0.044,0.044,0.002,0.044,0.044,0.290,0.288,0.288,12800
23,100,0,sassy_patterns,0.018,0.018,0.001,0.018,0.018,0.696,0.692,0.693,12800
23,100,0,sassy_tiling,0.001,0.001,0.000,0.001,0.001,10.561,10.474,10.520,12800
23,100,0,edlib,0.848,0.849,0.013,0.849,0.849,0.015,0.015,0.015,12800
23,100,3,sassy_search,0.048,0.048,0.001,0.048,0.048,0.266,0.264,0.265,12800
23,100,3,sassy_patterns,0.020,0.021,0.001,0.021,0.021,0.624,0.622,0.622,12800
23,100,3,sassy_tiling,0.002,0.002,0.000,0.002,0.002,6.452,6.394,6.420,12800
23,100,3,edlib,0.849,0.850,0.010,0.850,0.850,0.015,0.015,0.015,12800
23,100,4,sassy_search,0.054,0.055,0.002,0.055,0.055,0.235,0.234,0.235,12800
23,100,4,sassy_patterns,0.021,0.021,0.001,0.021,0.021,0.612,0.607,0.608,12800
23,100,4,sassy_tiling,0.004,0.004,0.000,0.004,0.004,3.425,3.391,3.404,12800
23,100,4,edlib,0.848,0.850,0.020,0.850,0.851,0.015,0.015,0.015,12800
23,250,0,sassy_search,0.045,0.045,0.001,0.045,0.045,0.706,0.704,0.704,32000
23,250,0,sassy_patterns,0.024,0.024,0.001,0.024,0.024,1.337,1.331,1.333,32000
23,250,0,sassy_tiling,0.003,0.003,0.000,0.003,0.003,10.862,10.627,10.671,32000
23,250,0,edlib,0.957,0.958,0.009,0.958,0.958,0.033,0.033,0.033,32000
23,250,3,sassy_search,0.055,0.055,0.002,0.055,0.055,0.582,0.578,0.579,32000
