num_queries,search_median_ms,search_mean_ms,search_std_ms,search_ci_lower_ms,search_ci_upper_ms,patterns_median_ms,patterns_mean_ms,patterns_std_ms,patterns_ci_lower_ms,patterns_ci_upper_ms,tiling_median_ms,tiling_mean_ms,tiling_std_ms,tiling_ci_lower_ms,tiling_ci_upper_ms,edlib_median_ms,edlib_mean_ms,edlib_std_ms,edlib_ci_lower_ms,edlib_ci_upper_ms,search_ipc,patterns_ipc,tiling_ipc,edlib_ipc,search_throughput_gbps,search_ci_lower_throughput_gbps,search_ci_upper_throughput_gbps,patterns_throughput_gbps,patterns_ci_lower_throughput_gbps,patterns_ci_upper_throughput_gbps,tiling_throughput_gbps,tiling_ci_lower_throughput_gbps,tiling_ci_upper_throughput_gbps,edlib_throughput_gbps,edlib_ci_lower_throughput_gbps,edlib_ci_upper_throughput_gbps,throughput_bytes
1,0.051,0.053,0.007,0.048,0.057,0.190,0.191,0.003,0.189,0.193,0.486,0.508,0.050,0.477,0.539,0.612,0.617,0.045,0.589,0.645,3.08,3.31,4.02,4.12,1.974,1.739,2.062,0.527,0.519,0.530,0.206,0.185,0.210,0.163,0.155,0.1698048455067226,100000
2,0.108,0.111,0.009,0.105,0.116,0.236,0.228,0.020,0.216,0.241,0.495,0.494,0.010,0.488,0.500,1.208,1.207,0.010,1.200,1.213,3.08,3.43,4.01,4.30,1.855,1.725,1.899,0.849,0.831,0.927,0.404,0.400,0.410,0.166,0.165,0.1666006637600054,200000
4,0.218,0.217,0.003,0.216,0.219,0.211,0.212,0.002,0.210,0.213,0.492,0.491,0.006,0.488,0.495,2.514,2.556,0.168,2.452,2.660,3.03,3.36,4.01,4.32,1.831,1.826,1.853,1.896,1.876,1.900,0.813,0.808,0.820,0.159,0.150,0.16315087743979403,400000
8,0.501,0.500,0.002,0.499,0.501,0.495,0.512,0.043,0.486,0.539,0.503,0.506,0.020,0.494,0.518,4.837,4.846,0.117,4.773,4.918,2.52,2.90,3.96,4.31,1.597,1.596,1.604,1.617,1.485,1.647,1.590,1.545,1.621,0.165,0.163,0.1676056683456065,800000
16,0.876,0.876,0.012,0.869,0.884,0.899,0.900,0.010,0.894,0.906,0.510,0.506,0.005,0.502,0.509,10.491,11.267,2.370,9.799,12.736,3.00,3.27,3.99,4.28,1.826,1.811,1.841,1.780,1.766,1.791,3.137,3.142,3.185,0.153,0.126,0.1632896407494507,1600000
32,2.087,2.075,0.247,1.922,2.228,1.849,1.921,0.234,1.776,2.066,0.683,0.696,0.048,0.667,0.726,19.342,19.799,1.300,18.993,20.604,2.97,3.26,4.65,4.31,1.533,1.436,1.665,1.731,1.549,1.802,4.687,4.408,4.800,0.165,0.155,0.16847918217015387,3200000
48,3.213,3.286,0.217,3.151,3.420,3.060,3.087,0.089,3.032,3.143,1.602,1.585,0.032,1.565,1.605,30.898,30.971,0.386,30.732,31.210,2.68,3.13,5.44,4.35,1.494,1.403,1.523,1.569,1.527,1.583,2.997,2.991,3.067,0.155,0.154,0.15619081130519175,4800000
64,3.797,3.835,0.127,3.756,3.913,3.901,3.900,0.105,3.835,3.965,1.177,1.192,0.080,1.143,1.242,40.960,40.951,0.144,40.862,41.040,3.03,3.30,5.43,4.35,1.686,1.636,1.704,1.640,1.614,1.669,5.436,5.153,5.599,0.156,0.156,0.15662608013212434,6400000
96,6.161,6.168,0.070,6.124,6.211,6.045,6.107,0.160,6.008,6.207,1.948,1.993,0.104,1.928,2.057,61.027,61.077,0.244,60.926,61.229,2.78,3.12,5.15,4.35,1.558,1.546,1.568,1.588,1.547,1.598,4.927,4.666,4.980,0.157,0.157,0.1575686811440019,9600000
128,8.112,8.097,0.053,8.064,8.130,7.979,7.975,0.042,7.948,8.001,2.257,2.337,0.147,2.246,2.428,81.624,81.591,0.353,81.372,81.809,2.81,3.09,5.21,4.35,1.578,1.574,1.587,1.604,1.600,1.610,5.670,5.273,5.700,0.157,0.156,0.15730174397385757,12800000
